#! FIELDS energy b1.bias der_energy
#! SET min_energy -25000
#! SET max_energy -23500
#! SET nbins_energy  1001
#! SET periodic_energy false
 -25000.000000000 -102.942250023   -0.290577461
 -24998.500000000 -102.519567945   -0.273430086
 -24997.000000000 -102.120730959   -0.258741007
 -24995.500000000 -101.742240078   -0.246262260
 -24994.000000000 -101.380953672   -0.235765129
 -24992.500000000 -101.034059493   -0.227038958
 -24991.000000000 -100.699048450   -0.219890012
 -24989.500000000 -100.373690034   -0.214140406
 -24988.000000000 -100.056009320   -0.209627085
 -24986.500000000  -99.744265450   -0.206200856
 -24985.000000000  -99.436931528   -0.203725479
 -24983.500000000  -99.132675854   -0.202076795
 -24982.000000000  -98.830344416   -0.201141913
 -24980.500000000  -98.528944579   -0.200818429
 -24979.000000000  -98.227629903   -0.201013700
 -24977.500000000  -97.925686030   -0.201644149
 -24976.000000000  -97.622517577   -0.202634615
 -24974.500000000  -97.317635978   -0.203917735
 -24973.000000000  -97.010648227   -0.205433365
 -24971.500000000  -96.701246466   -0.207128033
 -24970.000000000  -96.389198359   -0.208954426
 -24968.500000000  -96.074338233   -0.210870902
 -24967.000000000  -95.756558902   -0.212841040
 -24965.500000000  -95.435804172   -0.214833207
 -24964.000000000  -95.112061955   -0.216820162
 -24962.500000000  -94.785357967   -0.218778678
 -24961.000000000  -94.455749979   -0.220689188
 -24959.500000000  -94.123322574   -0.222535456
 -24958.000000000  -93.788182382   -0.224304272
 -24956.500000000  -93.450453765   -0.225985157
 -24955.000000000  -93.110274917   -0.227570103
 -24953.500000000  -92.767794357   -0.229053314
 -24952.000000000  -92.423167778   -0.230430979
 -24950.500000000  -92.076555242   -0.231701052
 -24949.000000000  -91.728118681   -0.232863053
 -24947.500000000  -91.378019690   -0.233917880
 -24946.000000000  -91.026417594   -0.234867636
 -24944.500000000  -90.673467758   -0.235715470
 -24943.000000000  -90.319320133   -0.236465431
 -24941.500000000  -89.964118007   -0.237122330
 -24940.000000000  -89.607996956   -0.237691619
 -24938.500000000  -89.251083975   -0.238179271
 -24937.000000000  -88.893496768   -0.238591683
 -24935.500000000  -88.535343189   -0.238935575
 -24934.000000000  -88.176720828   -0.239217903
 -24932.500000000  -87.817716705   -0.239445786
 -24931.000000000  -87.458407090   -0.239626429
 -24929.500000000  -87.098857421   -0.239767063
 -24928.000000000  -86.739122307   -0.239874883
 -24926.500000000  -86.379245620   -0.239957003
 -24925.000000000  -86.019260655   -0.240020404
 -24923.500000000  -85.659190358   -0.240071899
 -24922.000000000  -85.299047603   -0.240118097
 -24920.500000000  -84.938835527   -0.240165368
 -24919.000000000  -84.578547901   -0.240219825
 -24917.500000000  -84.218169542   -0.240287294
 -24916.000000000  -83.857676746   -0.240373300
 -24914.500000000  -83.497037763   -0.240483053
 -24913.000000000  -83.136213269   -0.240621432
 -24911.500000000  -82.775156878   -0.240792979
 -24910.000000000  -82.413815644   -0.241001892
 -24908.500000000  -82.052130588   -0.241252022
 -24907.000000000  -81.690037214   -0.241546869
 -24905.500000000  -81.327466039   -0.241889587
 -24904.000000000  -80.964343112   -0.242282978
 -24902.500000000  -80.600590532   -0.242729506
 -24901.000000000  -80.236126960   -0.243231293
 -24899.500000000  -79.870868121   -0.243790133
 -24898.000000000  -79.504727294   -0.244407495
 -24896.500000000  -79.137615794   -0.245084532
 -24895.000000000  -78.769443431   -0.245822094
 -24893.500000000  -78.400118967   -0.246620735
 -24892.000000000  -78.029550545   -0.247480727
 -24890.500000000  -77.657646107   -0.248402068
 -24889.000000000  -77.284313792   -0.249384498
 -24887.500000000  -76.909462319   -0.250427508
 -24886.000000000  -76.533001344   -0.251530357
 -24884.500000000  -76.154841807   -0.252692080
 -24883.000000000  -75.774896249   -0.253911506
 -24881.500000000  -75.393079119   -0.255187267
 -24880.000000000  -75.009307052   -0.256517814
 -24878.500000000  -74.623499138   -0.257901430
 -24877.000000000  -74.235577161   -0.259336242
 -24875.500000000  -73.845465821   -0.260820233
 -24874.000000000  -73.453092944   -0.262351257
 -24872.500000000  -73.058389662   -0.263927053
 -24871.000000000  -72.661290582   -0.265545251
 -24869.500000000  -72.261733935   -0.267203392
 -24868.000000000  -71.859661704   -0.268898933
 -24866.500000000  -71.455019742   -0.270629262
 -24865.000000000  -71.047757860   -0.272391708
 -24863.500000000  -70.637829918   -0.274183553
 -24862.000000000  -70.225193880   -0.276002040
 -24860.500000000  -69.809811869   -0.277844385
 -24859.000000000  -69.391650199   -0.279707784
 -24857.500000000  -68.970679396   -0.281589426
 -24856.000000000  -68.546874207   -0.283486497
 -24854.500000000  -68.120213594   -0.285396192
 -24853.000000000  -67.690680715   -0.287315721
 -24851.500000000  -67.258262899   -0.289242316
 -24850.000000000  -66.822951603   -0.291173240
 -24848.500000000  -66.384742366   -0.293105791
 -24847.000000000  -65.943634747   -0.295037310
 -24845.500000000  -65.499632258   -0.296965186
 -24844.000000000  -65.052742290   -0.298886861
 -24842.500000000  -64.602976026   -0.300799835
 -24841.000000000  -64.150348353   -0.302701672
 -24839.500000000  -63.694877765   -0.304590001
 -24838.000000000  -63.236586257   -0.306462521
 -24836.500000000  -62.775499219   -0.308317009
 -24835.000000000  -62.311645324   -0.310151313
 -24833.500000000  -61.845056407   -0.311963365
 -24832.000000000  -61.375767350   -0.313751177
 -24830.500000000  -60.903815951   -0.315512844
 -24829.000000000  -60.429242803   -0.317246547
 -24827.500000000  -59.952091159   -0.318950555
 -24826.000000000  -59.472406808   -0.320623224
 -24824.500000000  -58.990237937   -0.322262996
